P_gc,T_amb,T_evp,T_gc_exit,Q_evp,W_comp,COP
8000,40,6,43,11.11,25.05,0.4436
8001,40,6,43,11.13,25.06,0.4443
8001,40,6,43,11.15,25.06,0.445
8002,40,6,43,11.17,25.06,0.4458
8003,40,6,43,11.19,25.07,0.4465
8004,40,6,43,11.21,25.07,0.4473
8004,40,6,43,11.23,25.07,0.448
8005,40,6,43,11.25,25.08,0.4488
8006,40,6,43,11.27,25.08,0.4495
8006,40,6,43,11.3,25.08,0.4503
8007,40,6,43,11.32,25.09,0.451
8008,40,6,43,11.34,25.09,0.4518
8008,40,6,43,11.36,25.1,0.4525
8009,40,6,43,11.38,25.1,0.4533
8010,40,6,43,11.4,25.1,0.454
8011,40,6,43,11.42,25.11,0.4548
8011,40,6,43,11.44,25.11,0.4555
8012,40,6,43,11.46,25.11,0.4563
8013,40,6,43,11.48,25.12,0.457
8013,40,6,43,11.5,25.12,0.4578
8014,40,6,43,11.52,25.12,0.4585
8015,40,6,43,11.54,25.13,0.4593
8015,40,6,43,11.56,25.13,0.46
8016,40,6,43,11.58,25.13,0.4608
8017,40,6,43,11.6,25.14,0.4615
8018,40,6,43,11.62,25.14,0.4623
8018,40,6,43,11.64,25.14,0.463
8019,40,6,43,11.66,25.15,0.4638
8020,40,6,43,11.68,25.15,0.4645
8020,40,6,43,11.7,25.15,0.4653
8021,40,6,43,11.72,25.16,0.466
8022,40,6,43,11.74,25.16,0.4668
8022,40,6,43,11.77,25.17,0.4675
8023,40,6,43,11.79,25.17,0.4683
8024,40,6,43,11.81,25.17,0.469
8025,40,6,43,11.83,25.18,0.4698
8025,40,6,43,11.85,25.18,0.4705
8026,40,6,43,11.87,25.18,0.4713
8027,40,6,43,11.89,25.19,0.472
8027,40,6,43,11.91,25.19,0.4728
8028,40,6,43,11.93,25.19,0.4735
8029,40,6,43,11.95,25.2,0.4743
8029,40,6,43,11.97,25.2,0.475
8030,40,6,43,11.99,25.2,0.4758
8031,40,6,43,12.01,25.21,0.4765
8032,40,6,43,12.03,25.21,0.4773
8032,40,6,43,12.05,25.21,0.478
8033,40,6,43,12.07,25.22,0.4788
